Real-time Process Information (Top Output):
top - 04:28:14 up 16 min,  1 user,  load average: 0.60, 0.54, 0.36
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.7 us,  0.4 sy,  0.0 ni, 98.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15320.0 total,   9803.4 free,   2572.8 used,   2943.7 buff/cache
MiB Swap:  19531.0 total,  19531.0 free,      0.0 used.  12342.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     82 root      rt   0       0      0      0 S   0.0   0.0   0:00.24 migration/11
     83 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd/11
     84 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0-events
     85 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:0H-events_highpri
     86 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/12
     88 root      rt   0       0      0      0 S   0.0   0.0   0:00.24 migration/12
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftirqd/12
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/12:0H-events_highpri
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     93 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/13
     94 root      rt   0       0      0      0 S   0.0   0.0   0:00.25 migration/13
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd/13
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/13:0H-events_highpri
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/14
    100 root      rt   0       0      0      0 S   0.0   0.0   0:00.25 migration/14
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.02 ksoftirqd/14
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/14:0H-events_highpri
    104 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/15
    106 root      rt   0       0      0      0 S   0.0   0.0   0:00.25 migration/15
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftirqd/15
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/15:0H-events_highpri
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
    112 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    113 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
    114 root      20   0       0      0      0 I   0.0   0.0   0:01.44 kworker/u32:1-ext4-rsv-conversion
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
    118 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kcompactd0
    119 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    120 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/12:1-mm_percpu_wq
    121 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    128 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    130 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/12:2-cgroup_destroy
    132 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    133 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/14:1H-kblockd
    134 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/1:1-events_freezable
    135 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-AMD-Vi
    136 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker/15:1-mm_percpu_wq
    137 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    138 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthread
    139 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    142 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/4:1-events
    143 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/5:1-events
    144 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/6:1-events
    146 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/8:1-events
    147 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker/9:1-events
    148 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/10:1-mm_percpu_wq
    150 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker/13:1-events
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    153 root      20   0       0      0      0 S   0.0   0.0   0:00.04 hwrng
    154 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/15:2-mm_percpu_wq
    155 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    158 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/15:1H-kblockd
    164 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    165 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker/14:2-mm_percpu_wq
    168 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u33:0-hci0
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:1H-kblockd
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/13:1H-kblockd
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:1H-kblockd
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:1H-kblockd
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:1H-kblockd
    214 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:1H-kblockd
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.03 kworker/0:1H-acpi_thermal_pm
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker/8:1H-kblockd
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:1H-kblockd
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1H-kblockd
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:1H-kblockd
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:1H-kblockd
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:1H-kblockd
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/12:1H-kblockd
    231 root     -51   0       0      0      0 S   0.0   0.0   0:06.85 irq/32-ELAN0718:00
    257 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    258 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    259 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    260 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-auth-wq
    262 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
    263 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    264 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    268 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/2:2-cgroup_destroy
    297 root      20   0       0      0      0 S   0.0   0.0   0:00.12 jbd2/nvme0n1p8-8
    298 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    337 root      19  -1   48472  18816  17920 S   0.0   0.1   0:00.46 systemd-journal
    366 root      20   0   26916   6528   4480 S   0.0   0.0   0:00.20 systemd-udevd
    390 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/14:3-cgroup_destroy
    430 root      20   0       0      0      0 I   0.0   0.0   0:01.86 kworker/u32:8-ext4-rsv-conversion
    431 root      20   0       0      0      0 I   0.0   0.0   0:03.17 kworker/u32:9-events_power_efficient
    437 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/11:2-events
    443 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4:2-events
    552 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    555 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    556 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/7:2-cgroup_destroy
    594 systemd+  20   0   14828   6784   6016 S   0.0   0.0   0:01.56 systemd-oomd
    595 systemd+  20   0   25532  13144   8960 S   0.0   0.1   0:00.32 systemd-resolve
    596 systemd+  20   0   89380   7296   6528 S   0.0   0.0   0:00.26 systemd-timesyn
    604 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:2-cgroup_destroy
    652 root      20   0  240228   7484   6460 S   0.0   0.0   0:00.10 accounts-daemon
    653 root      20   0    2812   1792   1792 S   0.0   0.0   0:00.00 acpid
    662 avahi     20   0    7708   3840   3584 S   0.0   0.0   0:00.02 avahi-daemon
    664 root      20   0    9492   2816   2688 S   0.0   0.0   0:00.00 cron
    665 message+  20   0   11120   5760   3968 S   0.0   0.0   0:00.94 dbus-daemon
    667 root      20   0  261168  18080  15392 S   0.0   0.1   0:00.57 NetworkManager
    674 root      20   0   82848   3840   3584 S   0.0   0.0   0:00.18 irqbalance
    676 root      20   0   41056  20856  11648 S   0.0   0.1   0:00.07 networkd-dispat
    678 root      20   0  236940   9724   6704 S   0.0   0.1   0:01.69 polkitd
    681 root      20   0  240080   7168   6656 S   0.0   0.0   0:00.04 power-profiles-
    682 syslog    20   0  222400   4864   3968 S   0.0   0.0   0:00.10 rsyslogd
    693 root      20   0 2354964  33276  19072 S   0.0   0.2   0:01.50 snapd
    695 root      20   0  236492   6528   6144 S   0.0   0.0   0:00.03 switcheroo-cont
    702 root      20   0   48280   8152   6912 S   0.0   0.1   0:00.19 systemd-logind
    706 root      20   0  393448  13108  10420 S   0.0   0.1   0:00.19 udisksd
    710 root      20   0   17696  10624   8960 S   0.0   0.1   0:00.68 wpa_supplicant
    785 avahi     20   0    7440   1152    896 S   0.0   0.0   0:00.00 avahi-daemon
    788 root     -51   0       0      0      0 S   0.0   0.0   0:00.23 irq/78-rtw89_pci
    789 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/0:2-events
    796 root      20   0  317016  11732  10196 S   0.0   0.1   0:00.08 ModemManager
    799 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u33:1-hci0
    801 root      20   0   73008  13440  11520 S   0.0   0.1   0:00.02 cupsd
    816 root      20   0  118136  23424  14848 S   0.0   0.1   0:00.06 unattended-upgr
    825 root      20   0   10628   5248   4864 S   0.0   0.0   0:00.07 bluetoothd
    834 root      20   0    6776   4576   3328 S   0.0   0.0   0:00.05 apache2
    835 www-data  20   0 1998176   4460   3072 S   0.0   0.0   0:00.00 apache2
    836 www-data  20   0 1998176   4588   3072 S   0.0   0.0   0:00.00 apache2
    904 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amd_iommu_v2
    942 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvkm-disp
    945 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    946 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    947 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    948 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc3
   1020 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu-reset-de
   1039 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 amdgpu_dm_hpd_r
   1040 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dm_vblank_contr
   1041 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc0
   1042 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc1
   1043 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc2
   1044 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc3
   1045 root      -2   0       0      0      0 S   0.0   0.0   0:00.73 gfx_low
   1046 root      -2   0       0      0      0 S   0.0   0.0   0:01.36 gfx_high
   1047 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.0.0
   1048 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.1.0
   1049 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.2.0
   1050 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.3.0
   1051 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.0.1
   1052 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.1.1
   1053 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 comp_1.2.1
